[2025-04-09 01:00:32,274] INFO: Logged in as: gf
[2025-04-09 01:00:33,155] INFO: User 'gf' logging in (authenticated mode).
[2025-04-09 01:00:42,644] INFO: Logged in as: gf
[2025-04-09 01:00:43,583] INFO: User 'gf' logging in (authenticated mode).
[2025-04-09 01:00:54,425] INFO: Logged in as: 123
[2025-04-09 01:00:55,485] INFO: User '123' logging in (authenticated mode).
[2025-04-09 01:01:50,325] INFO: Logged in as: ew
[2025-04-09 01:01:51,557] INFO: User 'ew' logging in (authenticated mode).
[2025-04-09 01:02:21,030] INFO: Logged in as: eqw
[2025-04-09 01:02:22,407] INFO: User 'eqw' logging in (authenticated mode).
[2025-04-09 01:02:24,454] ERROR: Unable to connect to Tracker: [WinError 10061] No connection could be made because the target machine actively refused it
[2025-04-09 01:02:24,454] INFO: P2P SERVER listening on 127.0.0.1:8284
[2025-04-09 01:02:24,454] INFO: UDP LISTENER listening on 127.0.0.1:8285 for UDP livestream.
[2025-04-09 01:02:34,636] INFO: Sending message: chào
[2025-04-09 01:02:37,256] INFO: Live mode set to True
[2025-04-09 01:02:39,912] INFO: Sending message: chào
[2025-04-09 01:02:39,912] ERROR: Not connected to tracker.
[2025-04-09 01:02:39,912] INFO: No peers available for P2P broadcast.
[2025-04-09 01:02:59,336] INFO: Sending message: helllo
[2025-04-09 01:02:59,336] ERROR: Not connected to tracker.
[2025-04-09 01:02:59,336] INFO: No peers available for P2P broadcast.
[2025-04-09 01:03:03,446] INFO: Starting livestream. Press 'q' in the video window to stop.
[2025-04-09 01:03:03,619] ERROR: Not connected to tracker.
[2025-04-09 01:03:03,619] INFO: No peers available for UDP broadcast.
[2025-04-09 01:03:03,739] ERROR: Not connected to tracker.
[2025-04-09 01:03:03,739] INFO: No peers available for UDP broadcast.
[2025-04-09 01:03:03,848] ERROR: Not connected to tracker.
[2025-04-09 01:03:03,848] INFO: No peers available for UDP broadcast.
[2025-04-09 01:03:03,958] ERROR: Not connected to tracker.
[2025-04-09 01:03:03,958] INFO: No peers available for UDP broadcast.
[2025-04-09 01:03:04,069] ERROR: Not connected to tracker.
[2025-04-09 01:03:04,069] INFO: No peers available for UDP broadcast.
[2025-04-09 01:03:04,179] ERROR: Not connected to tracker.
[2025-04-09 01:03:04,179] INFO: No peers available for UDP broadcast.
